Playing Violin,"Characteristic motion of playing violin is: holding the violin under the chin, moving the bow back and forth across the strings, and frequently shifting fingers on the fingerboard to change notes."
Pole Vault,"Characteristic motion of Pole Vault is: running with a long pole, planting it into a box, using the pole to propel oneself over a high bar, and landing onto a cushioned mat."
Pommel Horse,Characteristic motion of Pommel Horse is: swinging legs in a circular motion while maintaining balance on the apparatus with the hands.
Pull Ups,"Characteristic motion of pull ups is: gripping a bar overhead and repeatedly pulling the body up until the chin is above the bar, then lowering the body back down."
Punch,"Characteristic motion of punch is: swiftly extending the arm and fist towards a target with force, then quickly retracting it back to the starting position."
Push Ups,Characteristic motion of push ups is: lowering and raising the body using the arms while keeping the body straight and supported by the hands and toes.
Rafting,"Characteristic motion of rafting is: navigating through rapid waters, paddling vigorously, steering the raft, and bracing against the force of the water."
Rock Climbing Indoor,"Characteristic motion of Rock Climbing Indoor is: using hands and feet to ascend a man-made wall, reaching for and gripping holds, pushing off with the legs, and occasionally jumping or swinging to reach the next hold."
Rope Climbing,"Characteristic motion of rope climbing is: pulling oneself up, gripping the rope tightly with hands and feet, and moving upward in a rhythmic motion."
Rowing,"Characteristic motion of rowing is: doing repetitive pulling and pushing movements with the arms and legs, leaning forward and backward in a rhythmic motion."
Salsa Spin,"Characteristic motion of Salsa Spin is: rotating swiftly on one foot, often while maintaining a close connection with a dance partner."
Shaving Beard,"Characteristic motion of shaving beard is: holding a razor and making smooth, careful strokes along the skin to remove facial hair, often followed by rinsing the razor and applying aftershave lotion."
Shotput,"Characteristic motion of Shotput is: bending at the knees, swinging the arm back, and then forcefully pushing the shot out in a throwing motion."
Skate Boarding,"Characteristic motion of skateboarding is: balancing on a moving board, pushing off the ground with one foot, performing various tricks such as jumps, flips, and slides."
Skiing,"Characteristic motion of skiing is: gliding down a snow-covered slope, shifting weight from side to side, and using poles for balance and propulsion."
Skijet,"Characteristic motion of Skijet is: maneuvering a small, motorized watercraft at high speeds, making sharp turns, and jumping over waves."
Sky Diving,"Characteristic motion of sky diving is: free falling through the air, spreading arms and legs to stabilize the body, and pulling the parachute cord for a controlled descent."
Soccer Juggling,"Characteristic motion of Soccer Juggling is: continuously kicking, kneeing, or heading a soccer ball, keeping it in the air without letting it touch the ground."
Soccer Penalty,"Characteristic motion of Soccer Penalty is: running up to the ball, planting the non-kicking foot beside it, and striking it with the kicking foot aiming towards the goal."
Still Rings,"Characteristic motion of Still Rings is: holding onto two rings suspended from a structure, performing various strength and balance exercises such as pull-ups, dips, and swings."
Sumo Wrestling,"Characteristic motion of Sumo Wrestling is: doing forceful, wide-legged stances, pushing, shoving, and attempting to lift or throw the opponent out of the ring."
Surfing,"Characteristic motion of surfing is: balancing on a surfboard, riding the waves, and performing various maneuvers like turns and jumps."
Swing,"Characteristic motion of swing is: moving back and forth in a steady, rhythmic motion."
Table Tennis Shot,"Characteristic motion of a table tennis shot is: swiftly moving the arm and wrist to hit the ball with the paddle, often involving quick footwork and body rotation."
Tai Chi,"Characteristic motion of Tai Chi is: performing slow, fluid movements with deep breathing and a calm, focused mind."
Tennis Swing,"Characteristic motion of Tennis Swing is: swinging the racket back and forth with force, while shifting body weight from back foot to front foot."
Throw Discus,"Characteristic motion of throwing discus is: rotating the body to build momentum, then releasing the discus with a strong, swift arm movement."
Trampoline Jumping,"Characteristic motion of trampoline jumping is: bouncing up and down with controlled, rhythmic movements, often including flips, twists, and somersaults."
Typing,"Characteristic motion of typing is: pressing keys on a keyboard in a rapid, rhythmic manner, often accompanied by movement of the eyes between the screen and the keyboard."
Uneven Bars,"Characteristic motion of Uneven Bars is: swinging, spinning, and flipping between two uneven horizontal bars with controlled and precise movements."
Volleyball Spiking,"Characteristic motion of Volleyball Spiking is: jumping high in the air, pulling back the arm, and forcefully hitting the ball downwards towards the opponent's court."
Walking With Dog,"Characteristic motion of walking with dog is: holding a leash attached to a dog's collar, moving at a steady pace, occasionally stopping for the dog to sniff or relieve itself, and sometimes throwing a ball or toy for the dog to chase."
Wall Pushups,"Characteristic motion of wall pushups is: standing at an arm's length from a wall, placing hands on the wall, bending elbows to lower the body towards the wall, and then pushing back to the starting position."
Writing On Board,"Characteristic motion of writing on board is: standing in front of a board, holding a marker or chalk, and making deliberate strokes and lines to form letters and words."
YoYo,"Characteristic motion of YoYo is: swinging a circular object up and down on a string, with occasional flicks of the wrist for tricks and spins."
